time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_access_walk_tw	arrivals_access_walk_tw	stuck_access_walk_tw	en-route_access_walk_tw	departures_bike	arrivals_bike	stuck_bike	en-route_bike	departures_car	arrivals_car	stuck_car	en-route_car	departures_egress_walk_tw	arrivals_egress_walk_tw	stuck_egress_walk_tw	en-route_egress_walk_tw	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_twoway_vehicle	arrivals_twoway_vehicle	stuck_twoway_vehicle	en-route_twoway_vehicle	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	6	1	0	5	2	1	0	1	1	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
00:05:00	300	1	2	0	4	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
00:10:00	600	1	0	0	5	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
00:15:00	900	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
00:20:00	1200	1	2	0	2	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	2	0	0	4	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	1	3	0	2	0	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
01:00:00	3600	2	0	0	5	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
01:05:00	3900	2	2	0	5	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
01:10:00	4200	3	2	0	6	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2
01:15:00	4500	1	1	0	6	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
01:20:00	4800	2	3	0	5	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01:25:00	5100	1	1	0	5	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01:30:00	5400	6	2	0	9	2	1	0	1	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
01:35:00	5700	3	2	0	10	0	1	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	3
01:40:00	6000	1	3	0	8	0	0	0	0	0	0	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
01:45:00	6300	3	2	0	9	0	0	0	0	0	0	0	0	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01:50:00	6600	2	3	0	8	0	0	0	0	0	0	0	0	2	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
01:55:00	6900	2	1	0	9	0	0	0	0	0	0	0	0	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:00:00	7200	4	3	0	10	1	0	0	1	0	0	0	0	2	3	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3
02:05:00	7500	4	2	0	12	0	0	0	1	1	0	0	1	2	1	0	6	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3
02:10:00	7800	3	2	0	13	0	1	0	0	0	0	0	1	2	0	0	8	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	3
02:15:00	8100	5	2	0	16	0	0	0	0	0	0	0	1	4	2	0	10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4
02:20:00	8400	5	1	0	20	1	0	0	1	0	0	0	1	4	1	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
02:25:00	8700	1	5	0	16	0	0	0	1	0	0	0	1	1	5	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
02:30:00	9000	6	2	0	20	1	0	0	2	1	0	0	2	4	2	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
02:35:00	9300	4	6	0	18	0	2	0	0	0	0	0	2	2	3	0	10	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	4
02:40:00	9600	5	1	0	22	2	0	0	2	0	0	0	2	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	4
02:45:00	9900	6	7	0	21	1	2	0	1	0	0	0	2	3	3	0	12	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	4
02:50:00	10200	3	3	0	21	0	1	0	0	0	0	0	2	2	2	0	12	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	4
02:55:00	10500	2	5	0	18	0	0	0	0	1	1	0	2	1	4	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4
03:00:00	10800	5	1	0	22	1	0	0	1	1	0	0	3	2	0	0	11	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	4
03:05:00	11100	8	6	0	24	0	1	0	0	0	0	0	3	6	4	0	13	0	0	0	0	1	0	0	2	1	1	0	2	0	0	0	4
03:10:00	11400	4	2	0	26	0	0	0	0	0	0	0	3	3	2	0	14	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	5
03:15:00	11700	9	5	0	30	1	0	0	1	0	0	0	3	7	5	0	16	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	6
03:20:00	12000	8	9	0	29	1	1	0	1	0	0	0	3	6	8	0	14	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	6
03:25:00	12300	12	5	0	36	2	0	0	3	0	1	0	2	8	3	0	19	0	0	0	0	2	0	0	4	0	1	0	2	0	0	0	6
03:30:00	12600	14	12	0	38	0	1	0	2	2	0	0	4	7	9	0	17	1	0	0	1	0	0	0	4	2	2	0	2	2	0	0	8
03:35:00	12900	12	9	0	41	0	2	0	0	0	0	0	4	10	5	0	22	0	1	0	0	0	0	0	4	2	1	0	3	0	0	0	8
03:40:00	13200	11	9	0	43	0	0	0	0	1	0	0	5	10	6	0	26	0	0	0	0	0	1	0	3	0	2	0	1	0	0	0	8
03:45:00	13500	13	13	0	43	1	0	0	1	1	0	0	6	10	11	0	25	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	9
03:50:00	13800	18	12	0	49	1	1	0	1	1	0	0	7	13	10	0	28	0	0	0	0	1	1	0	2	1	0	0	1	1	0	0	10
03:55:00	14100	19	9	0	59	0	1	0	0	0	1	0	6	16	6	0	38	0	0	0	0	1	0	0	3	1	1	0	1	1	0	0	11
04:00:00	14400	21	13	0	67	1	0	0	1	0	0	0	6	18	12	0	44	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	13
04:05:00	14700	21	16	0	72	2	2	0	1	2	0	0	8	13	13	0	44	0	0	0	0	2	1	0	4	2	0	0	2	0	0	0	13
04:10:00	15000	19	15	0	76	0	0	0	1	1	1	0	8	16	11	0	49	0	0	0	0	0	1	0	3	0	1	0	1	2	1	0	14
04:15:00	15300	21	13	0	84	0	0	0	1	1	0	0	9	18	12	0	55	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	16
04:20:00	15600	12	18	0	78	0	0	0	1	0	2	0	7	10	14	0	51	0	0	0	0	1	0	0	4	0	0	0	0	1	2	0	15
04:25:00	15900	27	12	0	93	0	1	0	0	3	1	0	9	22	10	0	63	0	0	0	0	1	0	0	5	1	0	0	1	0	0	0	15
04:30:00	16200	31	22	0	102	2	2	0	0	1	0	0	10	21	19	0	65	0	0	0	0	3	1	0	7	2	0	0	3	2	0	0	17
04:35:00	16500	23	17	0	108	0	0	0	0	0	1	0	9	19	15	0	69	0	0	0	0	2	0	0	9	0	1	0	2	2	0	0	19
04:40:00	16800	24	25	0	107	0	0	0	0	0	0	0	9	18	24	0	63	0	0	0	0	0	0	0	9	0	1	0	1	6	0	0	25
04:45:00	17100	27	21	0	113	1	0	0	1	2	1	0	10	22	17	0	68	0	0	0	0	1	1	0	9	0	1	0	0	1	1	0	25
04:50:00	17400	36	27	0	122	0	0	0	1	3	0	0	13	27	27	0	68	0	0	0	0	3	0	0	12	0	0	0	0	3	0	0	28
