ID	X	Y	VOT
26458817	4467977.5	5332542.0	11.62
26459778	4473594.0	5333750.5	31.76
26459922	4472281.0	5331280.0	14.04
26460076	4463513.5	5335316.5	11.33
26460330	4471043.0	5333500.5	13.35
26460700	4467631.5	5336071.5	10.95
26460701	4467631.5	5336071.5	12.72
26460828	4467805.5	5338521.5	8.7
26460829	4467805.5	5338521.5	8.49
26460830	4467805.5	5338521.5	8.49
26461451	4461644.0	5334201.0	1.17
26461539	4477578.5	5332589.5	12.2
26461540	4477578.5	5332589.5	12.2
26464272	4467637.0	5333102.5	28.1
26464668	4469305.5	5336116.5	8.24
26464669	4469305.5	5336116.5	16.81
26467061	4468327.0	5331478.0	10.97
26470704	4467805.5	5338521.5	8.7
26472023	4459317.5	5334786.0	14.39
26473092	4465826.0	5328450.5	3.46
26479568	4464551.5	5330584.0	18.91
26480216	4468142.5	5336143.0	4.04
26480982	4469385.5	5329014.5	16.93
26480983	4469385.5	5329014.5	13.04
26483248	4472283.5	5334632.5	54.98
26491808	4465826.0	5328450.5	3.46
26493228	4460979.0	5335042.5	11.22
26494764	4467554.5	5341705.5	6.66
26498758	4468173.0	5329948.0	6.6
26499817	4468708.0	5338164.0	14.81
26503032	4465485.0	5333475.5	13.8
26503938	4467727.5	5335019.0	17.07
26503989	4471832.0	5339284.5	0.0
26503990	4471832.0	5339284.5	15.87
26507201	4467494.0	5342906.0	2.45
26507202	4467494.0	5342906.0	2.45
26511206	4469485.5	5336334.0	9.2
26512476	4471324.5	5330313.0	3.77
26513520	4477516.891597574	5332668.900137428	7.21
26516651	4465437.0	5335615.0	9.87
26520906	4462645.5	5338677.0	18.1
26523292	4468222.166391968	5338483.2319699405	6.43
26526926	4469472.5	5331945.5	1.92
26527238	4470634.0	5332857.0	12.52
26527759	4459317.5	5334786.0	14.39
26530816	4467243.227941417	5333155.214639067	4.49
26530818	4466045.131381822	5333240.411885925	7.33
26531737	4465991.5	5334462.5	11.52
26531738	4465991.5	5334462.5	14.18
26531740	4465991.5	5334462.5	11.52
26536628	4467865.0	5339068.0	4.1
26541000	4462752.5	5333108.0	9.48
26541001	4462752.5	5333108.0	4.89
26542042	4468708.0	5338164.0	13.27
26545334	4470623.093282165	5334120.787631916	4.79
26548056	4468697.5	5335387.0	13.98
26560848	4468824.562252362	5329958.244787737	11.47
26560852	4468830.238780386	5329972.154091699	11.47
26560859	4468837.64829193	5329988.429133076	11.47
26564796	4471260.685516719	5341134.982842724	6.15
26565187	4471429.661586764	5339039.929844506	3.08
26572880	4471832.0	5339284.5	15.87
26572881	4471832.0	5339284.5	15.87
26573557	4468943.519593151	5330818.198732312	14.4
26578027	4473103.607532297	5333654.224076486	14.46
26583747	4468178.5	5332459.5	8.58
26584261	4470865.5	5332639.0	8.82
26584744	4468697.5	5335387.0	11.34
26586779	4470412.5	5332426.0	10.22
26587965	4469440.5	5331125.5	16.77
26588136	4464444.5	5333417.0	2.91
26588137	4464444.5	5333417.0	2.91
26588138	4464444.5	5333417.0	24.98
26588186	4467714.0	5335766.0	7.66
26589077	4467301.5	5334294.5	12.62
26589973	4467663.5	5337274.5	11.51
26591423	4461171.0	5334047.0	8.77
26591425	4461171.0	5334047.0	2.8
26599122	4466861.042330418	5336048.823494743	7.16
26599769	4471868.0	5332641.0	20.71
26612053	4461844.0	5336351.5	2.46
26613226	4467913.566842758	5335521.839415123	5.61
26613231	4463885.958877464	5335486.660193684	8.87
26617363	4468439.0	5335371.0	2.55
26617364	4468439.0	5335371.0	12.38
26617365	4468439.0	5335371.0	12.38
26617773	4461171.0	5334047.0	2.8
26625082	4467956.5	5335591.5	10.97
26627499	4461050.0	5333965.0	10.99
26627629	4464942.0	5334448.0	13.74
26627776	4473303.0	5331794.5	22.16
26628231	4464969.5	5337839.5	14.0
26628408	4464137.0	5330524.0	4.13
26628452	4471092.5	5338541.0	0.65
26628524	4467546.5	5336612.5	16.73
26628525	4467546.5	5336612.5	5.41
26628526	4467546.5	5336612.5	6.2
26628527	4467546.5	5336612.5	16.73
26628528	4467546.5	5336612.5	6.2
26628529	4467546.5	5336612.5	5.41
26628530	4467546.5	5336612.5	5.41
26629090	4460615.759709633	5331517.139528129	14.14
26629297	4465650.0	5338622.5	5.56
26629407	4467821.0	5335715.0	3.69
26629429	4471809.5	5332404.5	14.96
26629777	4466115.5	5336002.5	5.1
26629847	4470867.5	5333320.5	12.58
26629976	4464133.0	5335403.0	10.58
26630077	4470141.946517644	5338581.665843665	19.38
26630169	4457311.0	5333525.0	10.86
26630204	4466125.5	5329431.0	17.28
26630805	4468475.5	5336535.0	14.92
26630887	4468821.5	5331941.0	1.95
26630924	4465105.5	5333538.0	9.24
26631534	4470400.5	5334679.0	9.55
26631546	4469463.5	5340293.5	16.22
26631636	4463455.5	5334495.0	11.38
26631687	4456759.0	5334774.5	14.36
26655170	4465086.0	5333297.0	2.89
26656004	4469790.395415418	5331168.747074655	11.54
26656018	4470094.0	5337870.5	16.2
26657300	4469440.5	5331125.5	16.77
26657329	4473718.5	5333789.5	10.71
26657395	4461844.0	5336351.5	2.46
26658133	4464029.5	5333039.5	15.48
26658417	4463730.0	5332509.5	3.63
26658984	4468916.0	5336004.0	13.33
26658985	4468916.0	5336004.0	9.97
26659222	4471571.929404868	5333356.233514639	18.76
26659511	4466549.326448118	5335502.456968163	5.72
26661122	4467715.5	5338744.5	8.49
26661123	4467715.5	5338744.5	6.8
26661130	4464812.5	5338067.5	4.75
26661131	4464812.5	5338067.5	13.41
26661286	4464144.5	5337829.5	6.38
26662342	4464586.034907112	5330159.122617654	9.14
26662638	4465991.5	5334462.5	9.93
26662765	4467194.0	5335269.0	17.7
26663755	4468117.5	5329662.5	13.09
26664038	4470615.0	5329917.5	15.46
26664039	4470615.0	5329917.5	11.06
26664406	4462679.0	5331239.0	6.86
26664997	4464400.425960398	5335735.836675206	8.13
26665024	4469270.0	5337375.5	4.37
26665193	4471043.0	5333500.5	51.91
26665223	4468285.0	5329749.5	14.13
26665224	4468285.0	5329749.5	14.13
26665307	4466459.3867765255	5332119.124514477	1.17
26665837	4464444.5	5333417.0	23.2
26666717	4469907.0	5336723.0	4.38
26666739	4476985.5	5332388.0	7.64
26666989	4466405.0	5333543.0	10.64
26667176	4471133.0	5331322.5	8.7
26667177	4471133.0	5331322.5	8.65
26667294	4467672.300129314	5333233.900512541	12.08
26667562	4466976.5	5334704.0	27.01
26667655	4466405.0	5333543.0	18.71
26668374	4467356.5	5334857.0	8.77
26668456	4477755.5	5332633.0	13.17
