time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_access_walk_tw	arrivals_access_walk_tw	stuck_access_walk_tw	en-route_access_walk_tw	departures_bike	arrivals_bike	stuck_bike	en-route_bike	departures_car	arrivals_car	stuck_car	en-route_car	departures_egress_walk_tw	arrivals_egress_walk_tw	stuck_egress_walk_tw	en-route_egress_walk_tw	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_twoway_vehicle	arrivals_twoway_vehicle	stuck_twoway_vehicle	en-route_twoway_vehicle	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:05:00	300	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
00:10:00	600	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00:15:00	900	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00:20:00	1200	2	2	0	3	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00:25:00	1500	2	1	0	4	1	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
00:30:00	1800	1	2	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1
00:35:00	2100	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
00:40:00	2400	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
00:45:00	2700	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
00:50:00	3000	2	1	0	5	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
00:55:00	3300	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
01:00:00	3600	1	3	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2
01:05:00	3900	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
01:10:00	4200	2	2	0	5	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3
01:15:00	4500	2	0	0	7	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
01:20:00	4800	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
01:25:00	5100	3	2	0	8	0	0	0	0	0	0	0	0	3	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
01:30:00	5400	2	1	0	9	0	0	0	0	0	0	0	0	2	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
01:35:00	5700	1	3	0	7	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
01:40:00	6000	3	1	0	9	1	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3
01:45:00	6300	2	2	0	9	1	0	0	1	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3
01:50:00	6600	3	4	0	8	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	3
