ID	score	actType	legMode
26458817	156.60872587174504	home		
26459778	1418.2428338193313	home	car	
-	-	work	car	
-	-	home		
26459922	739.5782605939223	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3273169172849	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6797773132703	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7332639549018	home	car	
-	-	work	car	
-	-	home		
26460828	1387.540423995753	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.11586487886	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1157181469966	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2209866300784	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2787764083646	home	car	
-	-	work	car	
-	-	home		
26461540	203.75367886087105	home	bike	
-	-	work	bike	
-	-	home		
26464272	-609.3446192794634	home		
26464668	1467.049053740949	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1489.8256133903706	home	car	
-	-	work	car	
-	-	home		
26470704	1240.2567725257395	home	car	
-	-	shopping	car	
-	-	home		
26472023	1493.2545290440924	home	car	
-	-	work	car	
-	-	home		
26473092	1223.2814795314089	home	pt	
-	-	shopping	pt	
-	-	home		
26479568	1199.4093636511727	home	car	
-	-	other	car	
-	-	home		
26480216	1205.7223343526548	home	car	
-	-	other	car	
-	-	home		
26480982	1177.2037162037188	home	pt	
-	-	other	pt	
-	-	home		
26480983	1198.5072556224532	home	car	
-	-	other	car	
-	-	home		
26483248	1186.6934738300013	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1007672691549	home	car	
-	-	other	car	
-	-	home		
26493228	1203.9089456147317	home	car	
-	-	other	car	
-	-	home		
26494764	1161.2773003311027	home	walk	
-	-	shopping	walk	
-	-	home		
26498758	1483.7093560347187	home	car	
-	-	work	car	
-	-	home		
26499817	1482.9323667158317	home	car	
-	-	work	car	
-	-	home		
26503032	1009.6233202311483	work	car	
-	-	other		
26503938	1042.888014775311	work	car	
-	-	other		
26503989	1465.998797974575	home	car	
-	-	work	car	
-	-	home		
26503990	1426.1061826199473	home	car	
-	-	work	car	
-	-	home		
26507201	1039.4208313481013	work	car	
-	-	other		
26507202	1026.0751450955433	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1201.5036378820066	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.032717950965	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1697429242977	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1203.1060209973596	home	car	
-	-	other	car	
-	-	home		
26527238	1167.7930063095262	home	walk	
-	-	other	walk	
-	-	home		
26527759	1204.572003132698	home	bike	
-	-	other	bike	
-	-	home		
26530816	168.8944576114996	other	car	
-	-	other		
26530818	167.84784731129955	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	999.5117527713445	home	walk	
-	-	other	walk	
-	-	home		
26531740	1197.9537256466554	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.3124062680715	home	car	
-	-	work	car	
-	-	home		
26541001	1446.9046364129729	home	car	
-	-	work	car	
-	-	home		
26542042	1232.600297842772	home	car	
-	-	shopping	car	
-	-	home		
26545334	799.1835630577048	work	car	
-	-	other		
26548056	1042.0461006025323	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.057434298574	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6728786189599	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.708329710318	home	car	
-	-	work	car	
-	-	home		
26583747	1235.2835908646505	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7224881295333	home	car	
-	-	work	car	
-	-	home		
26584744	1039.644240460676	work	car	
-	-	other		
26586779	1462.7434860801034	home	car	
-	-	work	car	
-	-	home		
26587965	1413.2824710029404	home	car	
-	-	work	car	
-	-	home		
26588136	1231.9905702164833	home	car	
-	-	shopping	car	
-	-	home		
26588137	1239.2326461005152	home	car	
-	-	shopping	car	
-	-	home		
26588138	1224.8620128486282	home	bike	
-	-	shopping	bike	
-	-	home		
26588186	1429.3446957659858	home	car	
-	-	work	car	
-	-	home		
26589077	1232.4251909993475	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26589973	1397.5360744942125	home	car	
-	-	work	car	
-	-	home		
26591423	1229.8632459319404	home	car	
-	-	shopping	car	
-	-	home		
26591425	1215.7127534525257	home	pt	
-	-	shopping	pt	
-	-	home		
26599122	1174.918384562724	home	pt	
-	-	other	pt	
-	-	home		
26599769	1204.20594225029	home	car	
-	-	other	car	
-	-	home		
26612053	1345.8294504292655	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.32720089185258	other	car	
-	-	other		
26617363	1421.5284623876091	home	car	
-	-	work	car	
-	-	home		
26617364	1444.850625084087	home	car	
-	-	work	car	
-	-	home		
26617365	-1178.4193901247359	home	walk	
-	-	work		
26617773	1205.9752152190551	home	car	
-	-	other	car	
-	-	home		
26625082	1491.7935879194354	home	car	
-	-	work	car	
-	-	home		
26627499	992.0436174963045	work	car	
-	-	other		
26627629	958.0743245249918	work	car	
-	-	other		
26627776	1449.5580391526103	home	car	
-	-	work	car	
-	-	home		
26628231	1444.7619259189237	home	car	
-	-	work	car	
-	-	home		
26628408	1470.2131301464744	home	car	
-	-	work	car	
-	-	home		
26628452	1499.3854627814378	home	car	
-	-	work	car	
-	-	home		
26628524	1424.5768622273085	home	car	
-	-	work	car	
-	-	home		
26628525	1487.131539275532	home	car	
-	-	work	car	
-	-	home		
26628526	1492.519855482315	home	car	
-	-	work	car	
-	-	home		
26628527	1197.9140819962377	home	walk	
-	-	work	walk	
-	-	home		
26628528	1492.5228903164202	home	car	
-	-	work	car	
-	-	home		
26628529	1487.1104875101466	home	car	
-	-	work	car	
-	-	home		
26628530	1487.1170776830193	home	car	
-	-	work	car	
-	-	home		
26629090	1487.578307074438	home	pt	
-	-	work	pt	
-	-	home		
26629297	1491.5580907658914	home	car	
-	-	work	car	
-	-	home		
26629407	745.1419570435834	home	car	
-	-	work	car	
-	-	home		
26629429	1442.1101179144787	home	bike	
-	-	work	bike	
-	-	home		
26629777	1486.5977229586824	home	car	
-	-	work	car	
-	-	home		
26629847	1425.6717222885163	home	car	
-	-	work	car	
-	-	home		
26629976	1475.3736785833626	home	car	
-	-	work	car	
-	-	home		
26630077	1476.313227570382	home	car	
-	-	work	car	
-	-	home		
26630169	989.3000672353168	work	car	
-	-	other		
26630204	1489.71288031964	home	car	
-	-	work	car	
-	-	home		
26630805	1487.6856631920539	home	car	
-	-	work	car	
-	-	home		
26630887	1465.870610583117	home	car	
-	-	work	car	
-	-	home		
26630924	1484.5372551093799	home	car	
-	-	work	car	
-	-	home		
26631534	1213.78350073464	home	walk	
-	-	work	walk	
-	-	home		
26631546	1489.533660762909	home	car	
-	-	work	car	
-	-	home		
26631636	1488.0173906159537	home	car	
-	-	work	car	
-	-	home		
26631687	977.6512464439231	work	car	
-	-	other		
26655170	1494.2195800416437	home	car	
-	-	work	car	
-	-	home		
26656004	168.6458671586382	other	car	
-	-	other		
26656018	1497.400235233717	home	car	
-	-	work	car	
-	-	home		
26657300	1205.0702701973846	home	car	
-	-	other	car	
-	-	home		
26657329	1298.9602273899925	home	car	
-	-	work	car	
-	-	home		
26657395	1121.9167130568246	home	walk	
-	-	other	walk	
-	-	home		
26658133	1476.142555688501	home	car	
-	-	work	car	
-	-	home		
26658417	1483.522045212267	home	car	
-	-	work	car	
-	-	home		
26658984	1482.7232725480312	home	car	
-	-	work	car	
-	-	home		
26658985	742.0444216823898	home	car	
-	-	work	car	
-	-	home		
26659222	167.89968809969594	other	car	
-	-	other		
26659511	168.8198875858617	other	car	
-	-	other		
26661122	1388.4421466590588	home	walk	
-	-	work	walk	
-	-	home		
26661123	1474.6444861522903	home	car	
-	-	work	car	
-	-	home		
26661130	1479.2327782256064	home	car	
-	-	work	car	
