ID	score	actType	legMode
26458817	150.89105975465213	home		
26459778	1418.234782142197	home	car	
-	-	work	car	
-	-	home		
26459922	739.58649265736	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.364160043077	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6789305648572	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7194321181182	home	car	
-	-	work	car	
-	-	home		
26460828	1387.015786358568	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.1159530410907	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1156610993812	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2207621966684	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2918116000137	home	car	
-	-	work	car	
-	-	home		
26461540	452.3486623976008	home	bike	
-	-	work	bike	
-	-	home		
26464272	1406.3679574927373	home	car	
-	-	work	car	
-	-	home		
26464668	1467.0660536244304	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1310.5749356259873	home	walk	
-	-	work	walk	
-	-	home		
26470704	1240.1166628878052	home	car	
-	-	shopping	car	
-	-	home		
26472023	1493.9171453964684	home	car	
-	-	work	car	
-	-	home		
26473092	1237.7084098958937	home	car	
-	-	shopping	car	
-	-	home		
26479568	1185.7717769942035	home	car	
-	-	other	car	
-	-	home		
26480216	1197.3563033588287	home	pt	
-	-	other	pt	
-	-	home		
26480982	1198.4106494022692	home	car	
-	-	other	car	
-	-	home		
26480983	1198.5037013372512	home	car	
-	-	other	car	
-	-	home		
26483248	1186.692769978937	home	car	
-	-	other	car	
-	-	home		
26491808	1198.093569276573	home	car	
-	-	other	car	
-	-	home		
26493228	1195.2025743330205	home	pt	
-	-	other	pt	
-	-	home		
26494764	1159.9993199892942	home	walk	
-	-	shopping	walk	
-	-	home		
26498758	1483.708073660919	home	car	
-	-	work	car	
-	-	home		
26499817	1482.8968587996787	home	car	
-	-	work	car	
-	-	home		
26503032	1022.9744209728068	work	car	
-	-	other		
26503938	1042.8050545686576	work	car	
-	-	other		
26503989	-999.8360554156986	home	walk	
-	-	work	walk	
-	-	home		
26503990	1426.1048553314001	home	car	
-	-	work	car	
-	-	home		
26507201	1039.4205089912605	work	car	
-	-	other		
26507202	1038.165803525078	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1201.1459076858682	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1192.0937646442774	home	car	
-	-	other	car	
-	-	home		
26520906	1180.3607104676073	home	bike	
-	-	other	bike	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1153.7497794892668	home	walk	
-	-	other	walk	
-	-	home		
26527238	1204.424693609757	home	car	
-	-	other	car	
-	-	home		
26527759	1201.0998368632922	home	car	
-	-	other	car	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84784731129955	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	1197.7309761571719	home	car	
-	-	other	car	
-	-	home		
26531740	1197.5060340467787	home	car	
-	-	other	car	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.432336670607	home	car	
-	-	work	car	
-	-	home		
26541001	1446.8951317531933	home	car	
-	-	work	car	
-	-	home		
26542042	1233.861650326971	home	car	
-	-	shopping	car	
-	-	home		
26545334	829.7756897365759	work	car	
-	-	other		
26548056	1041.9478186486128	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
