ID	score	actType	legMode
26589077	1230.1882551771569	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26675332	1446.4169598572596	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691130	1384.4586647847466	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26693570	1196.5462162261715	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26694193	1132.1052070886794	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1200.5892991766223	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26710753	1393.1625248718851	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26725247	1131.9909361384107	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1225.6118473338638	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26754953	1431.568384922628	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26760170	1109.661869637735	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26762749	1440.9921767259484	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26790176	1429.6417322445552	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26790781	1126.2699689938504	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1206.5029949844657	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1200.9119648368933	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26871562	1206.6627853646776	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26923421	1201.4482207446715	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933106	1207.5989221487034	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26951903	1202.4908024349445	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26981151	1218.3583637479687	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26986091	1119.4937708936463	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26986814	1220.514332426791	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27021081	1192.8125745344462	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27050544	1137.9773073048884	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27078343	1208.8193539272747	home	car	
-	-	other	twoway_vehicle	
-	-	home		
27120453	1197.5540240169837	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27142411	1444.7375102657033	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27166063	1136.4925750477921	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178172	1205.6515027207015	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27181130	1196.4680816976852	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27185164	1418.9290548365307	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27293642	1127.8903571958149	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
