ID	score	actType	legMode
26461540	204.17838569160807	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26531738	999.5117527713445	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531740	1197.4767652012752	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26589077	1228.353677000479	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26675332	1381.7772887141296	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26693570	1181.4748327094374	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1203.2811830155204	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696720	1196.8332114497293	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26699107	1200.4194784174729	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26716528	1191.791570427091	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725247	1131.5418849615382	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760266	746.8254503498326	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26768583	1204.7290781163777	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26769971	1200.3575365015258	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26782308	1237.9991216336155	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790584	1176.2498746050426	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790781	1125.010751693804	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26795573	1184.953208489655	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1205.5117668055175	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808914	1202.3023948907123	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1202.0705967748233	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1173.9745492958211	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26826197	1211.2788723272079	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26841100	1234.472412773161	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26841256	1200.8814036634867	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26871562	1207.7812655220969	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26917075	1202.6847031556995	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26917175	1198.5326461294046	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933106	1203.8370605624675	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934001	1185.4961591791848	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934002	1202.1213321345049	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26944055	1374.0337005385975	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26951903	1187.8834492939186	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992920	1203.1844352024323	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26995486	1198.0924868459747	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27010231	1191.670118313462	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27018570	1199.1488962540934	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27029408	1234.6625528444454	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27030498	1277.8245141443422	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
27044933	1200.6287951655474	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27050544	1137.994198729083	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27051499	1197.749452659605	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27055239	1234.3040812080615	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27056719	1234.9061169781337	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27071639	1234.9405526672288	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27129519	1205.612726670454	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27139995	1203.0125127257388	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27148794	1094.6821682767054	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27149052	744.1516052277126	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27155595	1230.6384247299784	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27166063	1136.2361337716022	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27169370	1201.233758123442	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178170	1196.5763911043866	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178172	1203.7493481274037	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27181130	1203.1217897962688	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27217556	1040.2479836092516	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27219414	1200.964106267823	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27239397	1236.4605856638175	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27255739	1239.3404110575718	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27258177	1200.7567483644707	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27269838	1205.7633157165853	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27308063	1202.4221338866184	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27349416	1204.455015475068	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27349417	1203.7991936959409	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27379595	1204.5410285079017	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27382060	1236.0120420914093	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27410516	633.3722471575609	home	twoway_vehicle	
