ID	score	actType	legMode
26531740	1192.1199227677532	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26628524	1362.6213074256864	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26658417	1482.8309388663583	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691261	1204.045608653057	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1197.5267858151735	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696718	1154.5383824976034	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1203.2873954709137	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696720	1141.7073383290867	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725100	1478.5070617738804	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26725247	1131.6970873945106	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1226.4654299589743	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26753629	1123.9762184997066	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760170	1128.5937768859699	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26782308	1238.4890642759378	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790176	1475.1764403491688	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26790584	1204.464501415352	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793058	1203.0411835555917	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26806990	1205.7575832391872	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1209.1580603383863	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808914	1202.2722406637813	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1194.7299235575229	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26812631	1201.007310810782	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1181.9226995977046	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26831629	1184.7081147299573	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26836584	1203.9028368050479	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1200.6024602112805	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26858022	1189.1610936402847	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26863856	1242.2427370773084	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26871562	1208.232452540084	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880919	1199.9329244336986	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26917075	1202.6870020231636	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918639	1141.5894854376234	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26921647	1117.1646454543638	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933106	1205.74001753439	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26937102	1204.2920835872394	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26942319	1217.715918958948	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26944055	1388.9324860011386	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26951903	1204.714095281576	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27006872	1235.467391171977	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27008203	1228.089070135214	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27008204	1158.808027007664	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27010231	1191.715557985977	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27010232	1188.8848727333982	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27010839	1200.827381370201	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27014091	1133.550547090812	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27021081	1201.130539494701	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27050544	1137.995739622241	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27051499	1198.4213060946922	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27053009	1236.8446361815081	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27056719	1230.270063780974	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27078343	1209.1876444457007	home	bike	
-	-	other	twoway_vehicle	
-	-	home		
27090278	1204.8868871598825	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27098904	1228.8019690603462	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27139995	1202.5758959306102	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27146767	1192.0584143883677	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27155595	1234.8274267398876	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27166063	1133.9680932607162	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178172	1204.7010232917594	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27190372	1448.9313472312056	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27210770	1229.4568664866563	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27217556	1181.6744989034257	home	twoway_vehicle	
