ID	score	actType	legMode
26531737	1130.7387370080414	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531738	1173.2082708736464	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531740	1192.1199227677532	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26628524	1362.6213074256864	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26675332	1448.0145737459204	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691130	1431.801294917845	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691992	1197.7053772536262	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1197.5267858151735	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26699107	1190.7867098756626	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26710753	1397.9778387650508	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26725247	1131.6970873945106	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736115	1198.458685563966	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1226.4654299589743	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26738201	1223.9564193573908	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26793058	1203.0411835555917	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26803144	1196.46566392269	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1209.1580603383863	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1194.7299235575229	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1181.9226995977046	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1200.6024602112805	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26858022	1189.1610936402847	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26863191	1417.0654437878277	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26863856	1242.2427370773084	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26871562	1208.232452540084	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880919	1199.9329244336986	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918639	1141.5894854376234	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26921647	1117.1646454543638	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934001	1201.234938880226	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934002	1191.222405373213	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934003	1205.475679176599	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26937102	1204.2920835872394	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26942319	1217.715918958948	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26951903	1204.714095281576	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26964562	1203.2275675857613	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992920	1201.5318696998856	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27006343	1196.91701180168	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
