ID	score	actType	legMode
26628524	1421.4864856196257	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26662638	1231.333147372504	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26691261	1204.0240550963833	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1181.4748327094374	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695129	1442.5415654444926	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26710753	1436.2641551507943	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26725247	1131.5418849615382	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738201	1206.8013531484444	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26753629	1123.9762184997066	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26769971	1200.3575365015258	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790781	1125.010751693804	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26800722	1393.8772943314632	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26808788	1205.5117668055175	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1202.0705967748233	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1200.8814036634867	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26859171	1236.9817437903837	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26871562	1207.7812655220969	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880919	306.67101515353625	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26894053	1202.8056420700057	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26905504	1235.7123874104832	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26914128	1198.3013062565299	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26917175	1198.5326461294046	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918905	1235.9622479657	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26921647	1125.6466400483632	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933106	1203.8370605624675	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26934003	1200.9570410094043	home	twoway_vehicle	
