ID	score	actType	legMode
26458817	138.56227507109168	home		
26459778	1418.2428178840676	home	car	
-	-	work	car	
-	-	home		
26459922	739.5947246435178	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3670859494764	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6783480682484	home	car	
-	-	work	car	
-	-	home		
26460701	1416.733497315738	home	car	
-	-	work	car	
-	-	home		
26460828	1387.5425844913466	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.115817178024	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1153910171531	home	car	
-	-	work	car	
-	-	home		
26461451	1411.211849035758	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2926348627789	home	car	
-	-	work	car	
-	-	home		
26461540	1345.928356834081	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26464272	-534.1585552961492	home		
26464668	1467.066722549424	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1489.8488879646968	home	car	
-	-	work	car	
-	-	home		
26470704	1240.2742047022102	home	car	
-	-	shopping	car	
-	-	home		
26472023	1493.835054750127	home	car	
-	-	work	car	
-	-	home		
26473092	1223.4052823997397	home	pt	
-	-	shopping	pt	
-	-	home		
26479568	1197.1500643382544	home	car	
-	-	other	car	
-	-	home		
26480216	1205.7207929314468	home	car	
-	-	other	car	
-	-	home		
26480982	1167.2121842259712	home	bike	
-	-	other	bike	
-	-	home		
26480983	1198.515626758129	home	car	
-	-	other	car	
-	-	home		
26483248	1186.6935981195484	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1018786653904	home	car	
-	-	other	car	
-	-	home		
26493228	1181.5821288121858	home	walk	
-	-	other	walk	
-	-	home		
26494764	1237.3132964158374	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.5396858399936	home	walk	
-	-	work	walk	
-	-	home		
26499817	1482.8153654860355	home	car	
-	-	work	car	
-	-	home		
26503032	994.7549377036653	work	car	
-	-	other		
26503938	1042.8925672101527	work	car	
-	-	other		
26503989	1466.0008626970555	home	car	
-	-	work	car	
-	-	home		
26503990	843.8618747863961	home	pt	
-	-	work	pt	
-	-	home		
26507201	1039.2752590187167	work	car	
-	-	other		
26507202	1024.3694527895314	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1202.0011267999557	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.0319986543777	home	car	
-	-	other	car	
-	-	home		
26520906	1197.365064019293	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1203.1075860164735	home	car	
-	-	other	car	
-	-	home		
26527238	1176.3957196008269	home	walk	
-	-	other	walk	
-	-	home		
26527759	1206.0525674412302	home	car	
-	-	other	car	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84577361799398	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	1198.5288976563018	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531740	1195.520715577376	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	433.3623643519437	home	bike	
-	-	work	bike	
-	-	home		
26541001	1446.0168991677215	home	car	
-	-	work	car	
-	-	home		
26542042	1234.361617158126	home	car	
-	-	shopping	car	
-	-	home		
26545334	851.1922818826931	work	car	
-	-	other		
26548056	1041.9956539410744	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.073195826196	home	car	
-	-	other	car	
-	-	home		
26572881	1199.5307080989576	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.7090333509138	home	car	
-	-	work	car	
-	-	home		
26583747	1235.2684140938936	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7610136561116	home	car	
-	-	work	car	
-	-	home		
26584744	1017.8181553465747	work	car	
-	-	other		
26586779	1462.7156746434741	home	car	
-	-	work	car	
-	-	home		
26587965	1413.9116695734513	home	car	
-	-	work	car	
-	-	home		
