ID	score	actType	legMode
26458817	138.18910130654388	home		
26459778	1418.2415987978786	home	car	
-	-	work	car	
-	-	home		
26459922	739.5947246435178	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3666261698945	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6794084175995	home	car	
-	-	work	car	
-	-	home		
26460701	1416.732915605135	home	car	
-	-	work	car	
-	-	home		
26460828	1494.2267030546109	home	car	
-	-	work	car	
-	-	home		
26460829	1480.1126697075663	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1120173797658	home	car	
-	-	work	car	
-	-	home		
26461451	1411.220841345477	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2916355417806	home	car	
-	-	work	car	
-	-	home		
26461540	1381.5165873855835	home	car	
-	-	work	car	
-	-	home		
26464272	-569.9317586723558	home		
26464668	1305.7530815529506	home	bike	
-	-	work	bike	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1310.8348350188808	home	walk	
-	-	work	walk	
-	-	home		
26470704	1240.325241287294	home	car	
-	-	shopping	car	
-	-	home		
26472023	1478.7060789633117	home	car	
-	-	work	car	
-	-	home		
26473092	1237.709382473806	home	car	
-	-	shopping	car	
-	-	home		
26479568	1169.6153070190849	home	pt	
-	-	other	pt	
-	-	home		
26480216	1205.7233437778907	home	car	
-	-	other	car	
-	-	home		
26480982	1198.413256267685	home	car	
-	-	other	car	
-	-	home		
26480983	1179.3792153563807	home	pt	
-	-	other	pt	
-	-	home		
26483248	1186.6891692457957	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1024713532188	home	car	
-	-	other	car	
-	-	home		
26493228	1203.9253303231253	home	car	
-	-	other	car	
-	-	home		
26494764	1237.3143997259035	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.5674044254333	home	walk	
-	-	work	walk	
-	-	home		
26499817	1210.4795619716451	home	walk	
-	-	work	walk	
-	-	home		
26503032	1012.9275761546813	work	car	
-	-	other		
26503938	1039.9006188930855	work	car	
-	-	other		
26503989	1465.9269219123987	home	car	
-	-	work	car	
-	-	home		
26503990	545.677486008974	home	bike	
-	-	work	bike	
-	-	home		
26507201	1039.420707862673	work	car	
-	-	other		
26507202	1038.1716701139799	work	car	
-	-	other		
26511206	1045.820348594973	home	walk	
-	-	other	walk	
-	-	home		
26512476	1088.9967873408164	home	walk	
-	-	other	walk	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1200.5552025859392	home	car	
-	-	other	car	
-	-	home		
26520906	1198.170952307033	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1203.0983595426728	home	car	
-	-	other	car	
-	-	home		
26527238	1200.7161308872671	home	car	
-	-	other	car	
-	-	home		
26527759	1206.0648542221015	home	car	
-	-	other	car	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84577361799398	other	car	
-	-	other		
26531737	1130.7387370080414	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531738	1173.2082708736464	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531740	1192.1199227677532	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.3417557731627	home	car	
-	-	work	car	
-	-	home		
26541001	1446.9057789880057	home	car	
-	-	work	car	
-	-	home		
26542042	1213.3753526046155	home	pt	
-	-	shopping	pt	
-	-	home		
26545334	779.6749857005857	work	car	
-	-	other		
26548056	1042.0410626309117	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.0502697196337	home	car	
-	-	other	car	
-	-	home		
26572881	1197.78571666996	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.6970471733073	home	car	
-	-	work	car	
-	-	home		
26583747	1235.1959301371487	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7713699226983	home	car	
-	-	work	car	
-	-	home		
26584744	1040.4695989290456	work	car	
-	-	other		
26586779	1462.7450621785463	home	car	
-	-	work	car	
-	-	home		
26587965	1413.9107638903372	home	car	
-	-	work	car	
-	-	home		
26588136	1231.9796027506784	home	car	
-	-	shopping	car	
-	-	home		
26588137	1239.0779189350499	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.6902147929086	home	car	
-	-	shopping	car	
-	-	home		
26588186	581.603120007219	home	bike	
-	-	work	bike	
-	-	home		
26589077	1238.5230474930488	home	car	
-	-	shopping	car	
-	-	home		
26589973	1419.52769686219	home	car	
-	-	work	car	
-	-	home		
26591423	917.2665522971838	home	walk	
-	-	shopping	walk	
-	-	home		
26591425	1234.8523689757264	home	car	
-	-	shopping	car	
-	-	home		
26599122	1196.119630684316	home	car	
-	-	other	car	
-	-	home		
26599769	1202.7918622315121	home	car	
-	-	other	car	
-	-	home		
26612053	1342.6593675819768	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.33135065686895	other	car	
-	-	other		
26617363	1421.531740686038	home	car	
-	-	work	car	
-	-	home		
26617364	1444.1411886028268	home	car	
-	-	work	car	
-	-	home		
26617365	1444.7214998732622	home	car	
-	-	work	car	
-	-	home		
26617773	1197.7533491488896	home	pt	
-	-	other	pt	
-	-	home		
26625082	1491.7758251308342	home	car	
-	-	work	car	
-	-	home		
26627499	1021.4486041656772	work	car	
-	-	other		
26627629	958.5425223903442	work	car	
-	-	other		
26627776	1455.994642976674	home	car	
-	-	work	car	
-	-	home		
26628231	1390.8247668942151	home	car	
-	-	work	car	
-	-	home		
26628408	1481.9861085195635	home	car	
-	-	work	car	
-	-	home		
26628452	1499.3851567074598	home	car	
-	-	work	car	
-	-	home		
26628524	1362.6213074256864	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26628525	1486.9189077488647	home	car	
-	-	work	car	
-	-	home		
26628526	1492.5245080014356	home	car	
-	-	work	car	
-	-	home		
26628527	1479.5586844530367	home	car	
-	-	work	car	
-	-	home		
26628528	1492.5109031447146	home	car	
-	-	work	car	
-	-	home		
26628529	1453.5885666592771	home	pt	
-	-	work	pt	
-	-	home		
26628530	1438.9241059707476	home	bike	
-	-	work	bike	
-	-	home		
26629090	1496.3516360151903	home	car	
-	-	work	car	
-	-	home		
26629297	1454.6289342533648	home	bike	
-	-	work	bike	
-	-	home		
26629407	745.1419570435834	home	car	
-	-	work	car	
-	-	home		
26629429	1488.7047685595167	home	car	
-	-	work	car	
-	-	home		
