personID,carsharingType,startTime,endTIme,startLink,pickupLink,dropoffLink,endLink,distance,inVehicleTime,accessTime,egressTime,vehicleID,cost,bookingTime,companyID,vehicleType
27932266,twoway,41432.0,46656.0,275714,275690,null,275690,9489.86797910855,748.0,163.0,0.0,12131652,12.0,5224.0,Oply,car
28686595,twoway,56911.0,60742.0,485278,485280,null,485280,3034.6370500806943,349.0,119.0,0.0,12131621,6.39,3831.0,Oply,car
27518969,twoway,64890.0,71926.0,87197,87195,null,87195,16888.3340517456,1318.0,171.0,0.0,12133622,12.0,7036.0,Oply,car
26531738,twoway,37540.0,43452.0,243379,243383,null,243383,12236.614109807255,1040.0,168.0,0.0,12104632,12.0,5912.0,Oply,car
27714263,twoway,55576.0,61057.0,286607,337736,null,337736,2466.509065699978,255.0,139.0,0.0,12102702,12.0,5481.0,Oply,car
28074329,twoway,59204.0,68418.0,356662,274193,null,274193,12062.167864251453,1022.0,178.0,0.0,12133611,18.0,9214.0,Oply,car
27703922,twoway,66430.0,72436.0,421149,454386,null,454386,10656.347948429817,873.0,596.0,0.0,12122613,12.0,6006.0,Oply,car
27941778,twoway,61946.0,66383.0,186275,413150,null,126200,3235.977030280507,295.0,2677.0,0.0,12104712,12.0,4437.0,Oply,car
28704786,twoway,8095.0,39389.0,280055,320455,null,320455,7318.102341265547,605.0,234.0,0.0,12103611,54.0,31294.0,Oply,car
27255739,twoway,52373.0,55868.0,70032,414631,null,414631,7325.996793091239,602.0,67.0,0.0,12120621,6.0,3495.0,Oply,car
27820663,twoway,0.0,26672.0,500682,423936,null,423936,15609.856292930961,1261.0,288.0,0.0,12102631,48.0,26672.0,Oply,car
27139995,twoway,61392.0,66931.0,8869,8897,null,8897,2669.5944218821783,279.0,181.0,0.0,12133631,12.0,5539.0,Oply,car
27840954,twoway,53386.0,60089.0,501129,501127,null,501127,9284.068998980973,792.0,297.0,0.0,12133671,12.0,6703.0,Oply,car
27878663,twoway,55758.0,60634.0,73280,280126,null,280126,7786.343305102473,639.0,201.0,0.0,12103641,12.0,4876.0,Oply,car
33635719,twoway,47580.0,49012.0,382149,274193,null,274193,8485.558725546554,776.0,91.0,0.0,12133611,6.0,1432.0,Oply,car
31420147,twoway,71590.0,77670.0,153656,153654,null,153654,1613.8367914140788,149.0,162.0,0.0,12103671,12.0,6080.0,Oply,car
28124925,twoway,66839.0,75424.0,294765,403375,null,403375,5635.4489741916295,524.0,141.0,0.0,12132641,18.0,8585.0,Oply,car
26768583,twoway,55357.0,59083.0,289218,286148,null,286148,1140.5893155014842,118.0,233.0,0.0,12131681,6.21,3726.0,Oply,car
26992920,twoway,53712.0,57574.0,294765,403375,null,403375,4397.22357513627,442.0,141.0,0.0,12132642,6.44,3862.0,Oply,car
27467747,twoway,27511.0,38032.0,497471,245646,null,245646,6334.196469484111,523.0,514.0,0.0,12131661,18.0,10521.0,Oply,car
28665783,twoway,74571.0,75295.0,444375,7103,null,255282,4735.626996969674,394.0,330.0,0.0,12120634,6.0,724.0,Oply,car
28161672,twoway,59422.0,62537.0,391664,172623,null,172623,4797.0165358055,418.0,191.0,0.0,12104672,6.0,3115.0,Oply,car
27071639,twoway,68631.0,77379.0,21199,485280,null,485280,5846.862499046987,553.0,126.0,0.0,12131622,18.0,8748.0,Oply,car
26461540,twoway,20452.0,51799.0,445439,445439,null,445439,177275.47651620462,6495.0,1.0,0.0,12133692,54.0,31347.0,Oply,car
29398826,twoway,77307.0,81065.0,378954,487115,null,487115,6458.712965491524,530.0,1037.0,0.0,12132691,6.26,3758.0,Oply,car
28046087,twoway,53289.0,58704.0,362927,282876,null,282876,6928.148861858802,548.0,210.0,0.0,12102671,12.0,5415.0,Oply,car
28008802,twoway,63484.0,69705.0,354404,474619,null,474619,14753.697669463872,1210.0,146.0,0.0,12105613,12.0,6221.0,Oply,car
29312809,twoway,57826.0,84183.0,342369,13762,null,13762,100886.08602529355,4931.0,364.0,0.0,12133681,48.0,26357.0,Oply,car
32107184,twoway,75432.0,80412.0,175197,1384,null,1384,2999.693581464773,282.0,121.0,0.0,12102641,12.0,4980.0,Oply,car
26782308,twoway,62468.0,65155.0,8869,8897,null,8897,3105.9477537017597,340.0,181.0,0.0,12133632,6.0,2687.0,Oply,car
26944055,twoway,7237.0,39329.0,285022,275690,null,275690,12910.283976946426,1232.0,843.0,0.0,12131651,54.0,32092.0,Oply,car
28789577,twoway,12193.0,44802.0,370157,145569,null,145569,19333.92700236069,1586.0,685.0,0.0,12102611,54.35,32609.0,Oply,car
33008747,twoway,60184.0,69405.0,105073,105073,null,105073,6364.361378310297,528.0,1.0,0.0,12096522,18.0,9221.0,Oply,car
33262080,twoway,45925.0,53729.0,257108,131665,null,131665,9021.933194604602,747.0,98.0,0.0,12131612,18.0,7804.0,Oply,car
27382060,twoway,49276.0,53453.0,434340,79825,null,79825,8163.783458703198,648.0,127.0,0.0,12120662,12.0,4177.0,Oply,car
26699107,twoway,69864.0,76853.0,321827,42301,null,42301,8768.689985073597,760.0,173.0,0.0,12104663,12.0,6989.0,Oply,car
27810840,twoway,79257.0,80685.0,316616,378375,null,124850,7887.974576183446,597.0,831.0,0.0,12106612,6.0,1428.0,Oply,car
29838166,twoway,74550.0,79658.0,440255,126200,null,126200,1242.0828296979575,128.0,127.0,0.0,12104712,12.0,5108.0,Oply,car
32922029,twoway,51047.0,58461.0,229018,414631,null,414631,6976.013208127115,539.0,91.0,0.0,12120623,12.36,7414.0,Oply,car
27219414,twoway,64913.0,70535.0,11624,42301,null,42301,8635.209462989593,736.0,163.0,0.0,12104661,12.0,5622.0,Oply,car
27239397,twoway,50595.0,57247.0,257108,131665,null,131665,7742.905819368356,638.0,98.0,0.0,12131613,12.0,6652.0,Oply,car
32289422,twoway,45442.0,49275.0,354404,474619,null,474619,12115.774086851157,1069.0,146.0,0.0,12105612,6.39,3833.0,Oply,car
28236520,twoway,72725.0,91156.0,65774,281994,null,281994,26765.47129988052,1631.0,161.0,0.0,12095581,36.0,18431.0,Oply,car
27461086,twoway,63608.0,70359.0,165624,257127,null,257127,1617.0267232080887,140.0,883.0,0.0,12095571,12.0,6751.0,Oply,car
26951903,twoway,70906.0,75996.0,105073,105073,null,105073,7692.574924069827,612.0,1.0,0.0,12096523,12.0,5090.0,Oply,car
29776267,twoway,24012.0,34793.0,60517,289762,null,289762,19382.68956478297,1642.0,318.0,0.0,12131641,18.0,10781.0,Oply,car
26814681,twoway,69705.0,74689.0,165624,1384,null,1384,5765.498849645986,507.0,157.0,0.0,12102642,12.0,4984.0,Oply,car
28089923,twoway,67659.0,75288.0,195855,42301,null,42301,5679.145656682489,499.0,558.0,0.0,12104662,18.0,7629.0,Oply,car
27044933,twoway,42990.0,49879.0,382149,274193,null,274193,8201.45585571395,740.0,91.0,0.0,12133612,12.0,6889.0,Oply,car
27609177,twoway,70122.0,73880.0,294765,403375,null,403375,7608.90225422566,676.0,141.0,0.0,12132642,6.26,3758.0,Oply,car
27611477,twoway,67407.0,71658.0,65774,281994,null,281994,7518.611756450749,681.0,161.0,0.0,12095583,12.0,4251.0,Oply,car
27619637,twoway,75827.0,80405.0,281928,373984,null,373984,4025.4369882231636,352.0,724.0,0.0,12104682,12.0,4578.0,Oply,car
26934002,twoway,57516.0,64703.0,280124,280126,null,280126,6434.524507273471,543.0,171.0,0.0,12103642,12.0,7187.0,Oply,car
26934001,twoway,59801.0,62117.0,280124,280126,null,280126,7689.583379263022,674.0,171.0,0.0,12103643,6.0,2316.0,Oply,car
34793533,twoway,71236.0,73128.0,406139,474619,null,474619,1023.2950258627268,122.0,485.0,0.0,12105614,6.0,1892.0,Oply,car
28154652,twoway,64021.0,66593.0,257108,131665,null,131665,2472.169724756712,270.0,98.0,0.0,12131611,6.0,2572.0,Oply,car
27155595,twoway,68101.0,75732.0,172623,172623,null,172623,6551.799355138058,590.0,1.0,0.0,12104671,18.0,7631.0,Oply,car
27694315,twoway,32544.0,39304.0,275688,275690,null,275690,6677.827397916023,557.0,162.0,0.0,12131652,12.0,6760.0,Oply,car
28662617,twoway,46609.0,49070.0,476663,66928,null,66928,6096.643005371105,533.0,177.0,0.0,12108612,6.0,2461.0,Oply,car
27581445,twoway,27810.0,29311.0,97168,484179,null,484179,14222.774906589064,983.0,118.0,0.0,12121631,6.0,1501.0,Oply,car
27581444,twoway,26946.0,32838.0,97168,484179,null,484179,16040.110149398959,1179.0,118.0,0.0,12121632,12.0,5892.0,Oply,car
35171953,twoway,11892.0,41261.0,337570,126200,null,126200,5148.062111010363,411.0,1011.0,0.0,12104712,54.0,29369.0,Oply,car
28971239,twoway,67218.0,72629.0,356662,274193,null,274193,8507.267900393077,775.0,178.0,0.0,12133612,12.0,5411.0,Oply,car
28581372,twoway,60993.0,65249.0,409479,172623,null,172623,2141.949595628667,225.0,135.0,0.0,12104673,12.0,4256.0,Oply,car
27901678,twoway,13234.0,47393.0,257303,131665,null,131665,7891.55495746449,653.0,234.0,0.0,12131611,60.0,34159.0,Oply,car
28342276,twoway,7557.0,40881.0,308788,36125,null,36125,14607.672185128204,1220.0,773.0,0.0,12133721,60.0,33324.0,Oply,car
27415808,twoway,19758.0,30153.0,419028,8897,null,8897,9263.594627206854,821.0,557.0,0.0,12133631,18.0,10395.0,Oply,car
28111597,twoway,55490.0,56386.0,993,30901,null,993,736.0479544591594,110.0,786.0,0.0,12133711,6.0,896.0,Oply,car
27991679,twoway,18572.0,54561.0,401839,7103,null,7103,19012.706569269452,1345.0,658.0,0.0,12120631,60.0,35989.0,Oply,car
27745497,twoway,72793.0,78250.0,255923,243383,null,243383,3972.878208097874,337.0,206.0,0.0,12104632,12.0,5457.0,Oply,car
26808788,twoway,81370.0,84334.0,81621,254295,null,254295,1002.8267765786858,127.0,147.0,0.0,12102662,6.0,2964.0,Oply,car
26826197,twoway,71323.0,77886.0,405192,301163,null,301163,11674.552937240625,914.0,409.0,0.0,12133641,12.0,6563.0,Oply,car
29183476,twoway,85389.0,85954.0,270934,271647,null,118082,3192.7107265930163,257.0,308.0,0.0,12104641,6.0,565.0,Oply,car
29317060,twoway,47248.0,55669.0,186275,126200,null,126200,957.9799598653508,92.0,135.0,0.0,12104712,18.0,8421.0,Oply,car
32840598,twoway,53162.0,59510.0,87197,87195,null,87195,17281.60712756984,1344.0,171.0,0.0,12133621,12.0,6348.0,Oply,car
31882953,twoway,42946.0,53188.0,422625,30901,null,30901,7243.061041346581,630.0,123.0,0.0,12133712,18.0,10242.0,Oply,car
26696720,twoway,62806.0,72114.0,87970,36249,null,36249,16017.17674148115,1063.0,254.0,0.0,12111612,18.0,9308.0,Oply,car
28338904,twoway,76231.0,80040.0,21199,485280,null,485280,4557.204400395528,476.0,126.0,0.0,12131621,6.35,3809.0,Oply,car
31882954,twoway,35940.0,41531.0,422625,30901,null,30901,10905.995733881347,851.0,123.0,0.0,12133711,12.0,5591.0,Oply,car
26693570,twoway,76536.0,83613.0,286148,286148,null,286148,24364.61788993362,1492.0,1.0,0.0,12131682,12.0,7077.0,Oply,car
32068276,twoway,62587.0,67895.0,359302,456157,null,456157,4127.085930050124,366.0,379.0,0.0,12103623,12.0,5308.0,Oply,car
29612570,twoway,80300.0,80536.0,342364,13762,null,488928,2290.6063895723346,185.0,51.0,0.0,12133682,0.39,236.0,Oply,car
28923301,twoway,65719.0,70181.0,271533,272361,null,272361,1429.0129628461652,178.0,164.0,0.0,12102622,12.0,4462.0,Oply,car
28031638,twoway,16079.0,26352.0,220151,255488,null,255488,7466.127237118196,649.0,431.0,0.0,12103681,18.0,10273.0,Oply,car
26589077,twoway,61494.0,70637.0,421149,410043,null,410043,4574.8399761934725,401.0,127.0,0.0,12096511,18.0,9143.0,Oply,car
29150141,twoway,84178.0,84815.0,94475,66928,null,255099,2483.461694841022,231.0,406.0,0.0,12108612,6.0,637.0,Oply,car
27018570,twoway,63845.0,69734.0,66333,110,null,110,10066.94668178495,860.0,211.0,0.0,12103631,12.0,5889.0,Oply,car
27936841,twoway,52573.0,57881.0,476663,66928,null,66928,1676.6913470522288,200.0,177.0,0.0,12108612,12.0,5308.0,Oply,car
28677063,twoway,64313.0,69770.0,187450,346913,null,346913,3874.990244795422,331.0,193.0,0.0,12133732,12.0,5457.0,Oply,car
34693504,twoway,37488.0,49619.0,423291,20711,null,20711,8252.27258629158,878.0,120.0,0.0,12132621,24.0,12131.0,Oply,car
27051499,twoway,59037.0,64702.0,79823,79825,null,79825,14375.487872662132,1112.0,112.0,0.0,12120661,12.0,5665.0,Oply,car
26675332,twoway,6652.0,37575.0,243379,243383,null,243383,3194.020370445553,304.0,168.0,0.0,12104631,54.0,30923.0,Oply,car
27217556,twoway,72483.0,78731.0,70032,414631,null,414631,10813.39050224398,861.0,67.0,0.0,12120622,12.0,6248.0,Oply,car
28751477,twoway,74590.0,80430.0,65774,172623,null,172623,6562.2957190883635,561.0,739.0,0.0,12104672,12.0,5840.0,Oply,car
29550622,twoway,4492.0,36159.0,37224,79825,null,79825,4064.3962754534605,333.0,305.0,0.0,12120661,54.0,31667.0,Oply,car
26696719,twoway,55904.0,59247.0,87970,36249,null,36249,4278.954334728431,312.0,254.0,0.0,12111611,6.0,3343.0,Oply,car
28716384,twoway,66982.0,75792.0,343630,281994,null,281994,7805.436675653436,695.0,439.0,0.0,12095582,18.0,8810.0,Oply,car
28852763,twoway,34505.0,37520.0,290268,255316,null,255316,10768.470428386121,953.0,446.0,0.0,12132611,6.0,3015.0,Oply,car
27056719,twoway,19564.0,26986.0,97168,484179,null,484179,9862.438702765363,823.0,118.0,0.0,12121631,12.37,7422.0,Oply,car
29700592,twoway,66352.0,72079.0,379132,370300,null,370301,8788.708791909112,717.0,173.0,0.0,12132681,12.0,5727.0,Oply,car
26933106,twoway,8709.0,12578.0,186265,126200,null,126200,1242.0828296979575,128.0,266.0,0.0,12104711,6.45,3869.0,Oply,car
29553323,twoway,69264.0,75930.0,280124,280126,null,280126,6607.687252148075,568.0,171.0,0.0,12103641,12.0,6666.0,Oply,car
28971240,twoway,74037.0,79922.0,356662,274193,null,274193,9289.784148228196,765.0,178.0,0.0,12133612,12.0,5885.0,Oply,car
32948392,twoway,56242.0,60213.0,460492,13928,null,13928,9294.523953643284,733.0,165.0,0.0,12121611,12.0,3971.0,Oply,car
27166063,twoway,78941.0,79362.0,280059,320455,null,93351,711.880293596762,85.0,336.0,0.0,12103612,6.0,421.0,Oply,car
28506439,twoway,60156.0,67896.0,267467,254295,null,254295,9266.879000517123,807.0,977.0,0.0,12102662,18.0,7740.0,Oply,car
26795573,twoway,73405.0,78849.0,65774,281994,null,281994,7671.546336540261,687.0,161.0,0.0,12095583,12.0,5444.0,Oply,car
27178170,twoway,55468.0,62011.0,125553,105073,null,105073,14372.84808498365,1221.0,142.0,0.0,12096521,12.0,6543.0,Oply,car
26917175,twoway,62786.0,67762.0,299701,280126,null,280126,11406.52177286433,1003.0,98.0,0.0,12103644,12.0,4976.0,Oply,car
27178172,twoway,76052.0,81779.0,125553,105073,null,105073,4738.840219680109,370.0,142.0,0.0,12096522,12.0,5727.0,Oply,car
28477222,twoway,30679.0,36454.0,8899,8897,null,8897,8444.470061527963,675.0,88.0,0.0,12133632,12.0,5775.0,Oply,car
27030498,twoway,27824.0,38710.0,402707,7103,null,7103,221953.3059555248,9077.0,502.0,0.0,12120632,18.14,10886.0,Oply,car
27050544,twoway,81750.0,82001.0,131665,131665,null,419114,3110.4759644366577,250.0,1.0,0.0,12131611,0.42,251.0,Oply,car
27669894,twoway,58608.0,62422.0,500879,501127,null,501127,4028.160784076337,432.0,326.0,0.0,12133672,6.36,3814.0,Oply,car
27946037,twoway,71631.0,79090.0,442047,105073,null,105073,7148.7193989080515,556.0,699.0,0.0,12096521,12.43,7459.0,Oply,car
27900824,twoway,43279.0,50807.0,269791,126200,null,126200,4901.318919943422,409.0,887.0,0.0,12104711,18.0,7528.0,Oply,car
