ID	score	actType	legMode
26458817	165.47685926021597	home		
26459778	1418.2393431543642	home	car	
-	-	work	car	
-	-	home		
26459922	739.6029565523969	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3676101058945	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6654443919315	home	car	
-	-	work	car	
-	-	home		
26460701	1416.732464234936	home	car	
-	-	work	car	
-	-	home		
26460828	1387.5264417256294	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.11586487886	home	car	
-	-	work	car	
-	-	home		
26460830	1480.116190880552	home	car	
-	-	work	car	
-	-	home		
26461451	1411.220744483099	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2925940691234	home	car	
-	-	work	car	
-	-	home		
26461540	446.3720991175143	home	bike	
-	-	work	bike	
-	-	home		
26464272	-476.27606924584575	home		
26464668	1467.065008995551	home	car	
-	-	work	car	
-	-	home		
26464669	305.4025318145648	home	pt	
-	-	work	pt	
-	-	home		
26467061	1489.8440146309745	home	car	
-	-	work	car	
-	-	home		
26470704	1232.9255697223803	home	pt	
-	-	shopping	pt	
-	-	home		
26472023	1479.3538041763543	home	car	
-	-	work	car	
-	-	home		
26473092	1237.70896277704	home	car	
-	-	shopping	car	
-	-	home		
26479568	1197.4143487103515	home	car	
-	-	other	car	
-	-	home		
26480216	1205.597646727525	home	car	
-	-	other	car	
-	-	home		
26480982	1198.3916994842245	home	car	
-	-	other	car	
-	-	home		
26480983	1026.945782016045	home	walk	
-	-	other	walk	
-	-	home		
26483248	1186.6918778498305	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1009766063116	home	car	
-	-	other	car	
-	-	home		
26493228	1203.9290882945807	home	car	
-	-	other	car	
-	-	home		
26494764	1237.3141267251858	home	car	
-	-	shopping	car	
-	-	home		
26498758	1326.5770262477413	home	walk	
-	-	work	walk	
-	-	home		
26499817	1482.9076203612728	home	car	
-	-	work	car	
-	-	home		
26503032	998.7936810064427	work	car	
-	-	other		
26503938	1042.268482798905	work	car	
-	-	other		
26503989	1167.8950921906296	home	bike	
-	-	work	bike	
-	-	home		
26503990	1426.106311003326	home	car	
-	-	work	car	
-	-	home		
26507201	1039.4195413201387	work	car	
-	-	other		
26507202	1029.2047594911103	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1201.6092632718364	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1201.0217269983086	home	car	
-	-	other	car	
-	-	home		
26520906	1198.1583583611352	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1203.1075776299735	home	car	
-	-	other	car	
-	-	home		
26527238	1204.1583070327267	home	car	
-	-	other	car	
-	-	home		
26527759	1201.026081792928	home	walk	
-	-	other	walk	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84784731129955	other	car	
-	-	other		
26531737	1126.078863703342	home	car	
-	-	other	car	
-	-	home		
26531738	1194.9058939109236	home	car	
-	-	other	car	
-	-	home		
26531740	1199.0639509334205	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.436540951755	home	car	
-	-	work	car	
-	-	home		
26541001	1446.9070661496883	home	car	
-	-	work	car	
-	-	home		
26542042	1234.3740380824806	home	car	
-	-	shopping	car	
-	-	home		
26545334	825.7101922590037	work	car	
-	-	other		
26548056	1041.934156035399	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1203.1785530773427	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6721018763321	home	car	
-	-	other	car	
-	-	home		
26573557	167.88102575793704	other	car	
-	-	other		
26578027	1480.6859262765822	home	car	
-	-	work	car	
-	-	home		
26583747	1235.2835254441295	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7666428317134	home	car	
-	-	work	car	
-	-	home		
26584744	1041.8445831836102	work	car	
-	-	other		
26586779	1462.745045626659	home	car	
-	-	work	car	
-	-	home		
26587965	796.6313351323789	home	pt	
-	-	work	pt	
-	-	home		
26588136	1232.0312920603567	home	car	
-	-	shopping	car	
-	-	home		
26588137	1237.6377936211188	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.7610246384493	home	car	
-	-	shopping	car	
-	-	home		
26588186	582.4536436135057	home	bike	
-	-	work	bike	
-	-	home		
26589077	1205.9661703157572	home	walk	
-	-	shopping	walk	
-	-	home		
26589973	1420.197934886001	home	car	
-	-	work	car	
-	-	home		
26591423	1229.863281099194	home	car	
-	-	shopping	car	
-	-	home		
26591425	1234.8400794555712	home	car	
-	-	shopping	car	
-	-	home		
26599122	1196.8069753524042	home	car	
-	-	other	car	
-	-	home		
26599769	1204.3285435513503	home	car	
-	-	other	car	
-	-	home		
26612053	1351.3446158208224	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.33135065686895	other	car	
-	-	other		
26617363	1421.5312702464812	home	car	
-	-	work	car	
-	-	home		
26617364	1444.8482538041542	home	car	
-	-	work	car	
-	-	home		
26617365	1444.8619995290046	home	car	
-	-	work	car	
-	-	home		
26617773	1206.1127682749116	home	car	
-	-	other	car	
-	-	home		
26625082	1471.6947630137468	home	bike	
-	-	work	bike	
-	-	home		
26627499	987.130569650565	work	car	
-	-	other		
26627629	981.6542194096595	work	car	
-	-	other		
26627776	1470.3398930328226	home	car	
-	-	work	car	
-	-	home		
26628231	1426.515709685284	home	pt	
-	-	work	pt	
-	-	home		
26628408	1447.7172390745468	home	pt	
-	-	work	pt	
-	-	home		
26628452	1475.462485335912	home	walk	
-	-	work	walk	
-	-	home		
26628524	1415.5815473405773	home	car	
-	-	work	car	
-	-	home		
26628525	1487.127324133222	home	car	
-	-	work	car	
-	-	home		
26628526	1492.5152513267403	home	car	
-	-	work	car	
-	-	home		
26628527	1477.801395116366	home	car	
-	-	work	car	
-	-	home		
26628528	1492.521868096112	home	car	
-	-	work	car	
-	-	home		
26628529	1264.763429840518	home	walk	
-	-	work	walk	
-	-	home		
26628530	1487.1297123292968	home	car	
-	-	work	car	
-	-	home		
26629090	1465.996421189086	home	walk	
-	-	work	walk	
-	-	home		
26629297	1491.5583392754343	home	car	
-	-	work	car	
-	-	home		
26629407	745.1419570435834	home	car	
-	-	work	car	
-	-	home		
26629429	1488.707325436695	home	car	
-	-	work	car	
-	-	home		
26629777	1486.595877710969	home	car	
-	-	work	car	
-	-	home		
26629847	1407.8381011810284	home	car	
-	-	work	car	
-	-	home		
26629976	1475.2969963952523	home	car	
-	-	work	car	
-	-	home		
26630077	1390.1380918541918	home	bike	
-	-	work	bike	
-	-	home		
26630169	977.1261711705266	work	car	
-	-	other		
26630204	1299.2730647012843	home	walk	
-	-	work	walk	
-	-	home		
26630805	1487.685452102916	home	car	
-	-	work	car	
-	-	home		
26630887	1465.8895929233506	home	car	
-	-	work	car	
-	-	home		
26630924	1484.5371898225178	home	car	
-	-	work	car	
-	-	home		
26631534	1484.8782618696077	home	car	
-	-	work	car	
-	-	home		
