ID	score	actType	legMode
26531738	1200.1327222311108	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531740	1199.909891704209	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26658417	1430.2273768086236	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26675332	1435.6301297552138	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691130	1445.0279918224278	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691261	1208.339503141893	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1200.504789380885	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695508	1203.016350484696	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695510	1203.5185920251072	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696718	1206.1105280006957	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1192.2921221170877	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696722	1197.9183493079117	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26698061	1187.9240558813942	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26710753	1403.4280749926315	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26716528	1205.30343261808	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26724981	1203.3613519138626	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725247	1133.5682433108868	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736115	1201.732504897844	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736267	1198.037806998158	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1227.3615656360419	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26738201	1225.0569761185357	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26749823	727.3624208216844	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26753629	1056.1602692881393	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26754953	1450.0784407032315	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26758312	1201.896547317429	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760170	1132.0293230102398	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760396	1121.0894058169863	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760447	1202.2956815388154	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26762749	1459.9319227050323	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26768583	1189.5017445337417	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26768742	1202.5495754276144	home	twoway_vehicle	
-	-	other	twoway_vehicle	
