ID	score	actType	legMode
26531740	1197.4730715433434	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26691992	1202.7308264891392	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1195.5655358375209	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1193.9128973283825	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696720	1196.8360657537671	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26710753	1399.6064216316465	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26712590	1473.5855626015225	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26725247	1132.9817082984837	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736267	1200.9081067751283	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738201	1230.983652332051	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26754953	1403.579825462329	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26769145	1199.2433507110973	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26782308	1238.4770725654964	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790583	1168.9263067197494	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790584	1201.8713391080692	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790781	1098.3317414191256	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793058	1203.8725730489155	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26795573	1201.6166195186875	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1211.0902206433998	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1201.9585105680542	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26812631	1201.0029385264972	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1202.9019239945876	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841100	1228.9764484465445	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26841256	1202.0368152123633	home	twoway_vehicle	
