ID	score	actType	legMode
26531737	1128.1453499475242	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26628524	1390.397023829733	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26675332	1458.924588601577	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26675333	750.4547349998381	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691130	1433.9920401167371	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691261	1208.4482492552456	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695508	1201.2222516177058	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695510	1201.8600681866117	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1174.9075114714328	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696722	1196.430148959204	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26699107	1194.8828303848047	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26707097	1216.8650664491718	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26712590	1458.7087041507102	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26716528	1204.3059743115991	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725247	1133.3825797481134	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26733462	1143.766343827741	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26733464	1203.7151070616978	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736654	1198.7591164857656	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1232.5579637311835	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26738201	1193.9862572537659	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26746881	1233.4528414957517	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26754953	1447.7237348235954	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26768583	1135.7474326872393	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26768742	1203.0761186028606	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26771946	1203.2138761897086	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26785687	1112.6848730635204	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790583	1206.1345467522906	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26792878	1191.4394071717743	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793058	1207.6185067334561	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793155	1193.0433483723568	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26795573	1203.385632089229	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26795596	1204.3013146174758	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26800101	1203.4065759211069	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26800722	1442.6668861748503	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26803144	1199.621765618695	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1207.3863158955212	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1204.9457520525677	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26831629	1192.4047441783646	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26835484	1199.709617088733	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1202.06607641473	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26844301	1201.5861101366922	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26845977	1203.19924190404	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26863191	1432.5958282761344	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26871562	1212.069449259252	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26877526	1202.8051337592512	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880577	1197.4040417454078	home	twoway_vehicle	
-	-	other	twoway_vehicle	
