ID	score	actType	legMode
26531740	1192.972400375395	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26675332	1458.924588601577	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26693570	1194.1245233432503	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695508	1201.2222516177058	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695510	1201.8600681866117	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1174.9075114714328	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696720	1196.820604987243	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26697580	1386.423446707998	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26710150	1231.0514993903778	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26710753	1405.2426646071808	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26716528	1204.3059743115991	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725247	1133.3825797481134	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26733464	1203.7151070616978	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736116	1197.999155795671	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1232.5579637311835	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26758312	1200.6366411624942	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760170	1128.5937768859699	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760447	1202.552759570525	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26768742	1203.0761186028606	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26769049	1357.0854334289852	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26769971	1200.2862637355743	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26769973	1200.06322361593	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26771946	1203.2138761897086	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26772894	1197.0924198741616	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26779753	1238.1216772644802	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26785687	1112.6848730635204	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790583	1206.1345467522906	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790781	-768.0
home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793155	1193.0433483723568	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26795596	1204.3013146174758	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26800101	1203.4065759211069	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26803144	1199.621765618695	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26804999	1204.1554145065631	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26806990	1205.7531004794157	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1207.3863158955212	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808914	1199.6728529815427	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808958	1186.719036384504	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26809327	1202.0708508182938	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814681	1204.9457520525677	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26815767	1125.520839526896	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26818285	1203.9204501620893	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26820227	1237.7521692663377	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26835393	1087.1757129927264	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26835484	1199.709617088733	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26836584	1203.9034823065665	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26837898	1205.492733200539	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841256	1202.06607641473	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26843420	1198.592458598033	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26845977	1203.19924190404	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26857866	1191.9733361748097	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26858022	1233.949261604264	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26867543	1235.1789317573139	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26880577	1197.4040417454078	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26880919	1201.6477650798856	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26884554	1235.7787006073288	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26886278	1192.80968084227	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26889733	1204.8178660370443	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26905247	1236.5784193375166	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26905504	1141.9346816462692	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26905506	1236.4429084069643	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26917884	1124.9121216667652	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918639	1107.3177013291386	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26918640	1204.554397466015	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26923421	1196.9460913987061	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26930696	1236.447453029541	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26933106	1197.0831610592336	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26933107	1198.698951787816	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26951895	1193.1464065504185	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26956602	1188.245204800608	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26960595	1202.9980934343337	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26970500	1196.7201345193794	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26973124	1202.5643995216303	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26986814	1170.2163807565285	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26992807	1200.7436383244517	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992808	1179.9794538583542	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26992920	1203.1927255392493	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26995486	1204.4105211690598	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26996423	1112.536034559401	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27003666	1205.438758944923	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27008203	1192.5617270911644	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27010232	1142.4467332787713	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27014091	1134.376059350812	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27030498	1330.4853015255474	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
27033556	1230.2792488540574	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27050544	1138.098049979254	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27056719	1222.4574367470732	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27056720	1236.7842038852684	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27071639	1235.969970711495	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27072893	1450.7437080439677	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27092681	1203.9937554453566	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27098904	1236.6849591101006	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27102936	1204.7181970774825	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27104043	1199.615869795246	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27117040	1203.3550032976004	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27120453	1195.2883270022007	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27121291	1202.4220926131889	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27131387	1198.6014631128576	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27138138	1201.764758144088	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27138597	1237.0529253165187	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27139995	1203.8543448978949	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27145374	1484.4666718971137	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27145930	1416.7796591643637	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27148279	1237.6903753742033	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27159863	1169.7972942937197	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27164892	1194.298544033771	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27169370	1205.3920034588791	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178172	1203.6011023110098	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27178888	1202.286557395926	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27179698	1202.2583595378992	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27180197	1201.7024226932515	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27181130	1204.2467459660625	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27219414	1198.808281550577	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27236459	1235.3474877127378	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27239397	1236.4606063274875	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27248587	1197.3774260294265	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27258130	1203.2205425223788	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27258177	1200.7580164011201	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27260533	1185.343191765067	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27269838	1206.0127365924584	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27277649	1190.0827251731714	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27288123	1233.210962638428	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27295278	1110.8568908822967	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27305231	1235.7770207204162	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27308508	1201.736952665837	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27315081	1197.7978357434995	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27317443	1197.1828413079816	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27317964	1203.5168995353013	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27318751	1203.3705899039853	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27329469	1235.1942346795965	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27340041	1125.9229808712662	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27348893	1135.8819395761218	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27359048	1468.7557830238939	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27376986	1198.4992495489225	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27379595	1208.2755926049929	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27382061	1232.4610619503255	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27397893	1200.7111030523522	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27397896	1196.6705841582586	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27413174	1235.8271552992799	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27415808	1236.1448722219495	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27416730	1201.7276885479887	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27418930	1205.4493054717818	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27445140	1111.7598245703418	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27445225	1413.442077904226	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27452087	1187.9214122712579	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27463342	1201.1935868411756	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27467290	1203.3465501414844	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27467747	1238.0681485441673	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27468661	1187.0975418704927	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27485246	1235.593118671625	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27493290	1205.897596884203	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27493889	1205.7407983852138	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27495069	1199.58921079142	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27501481	1202.2716104417789	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27504749	1232.2835434486651	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27515378	1203.039097462149	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27518969	1193.734212318467	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27527512	1235.006804317076	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27540731	1200.225801509467	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27544572	1235.1849502518567	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27548451	1207.7042399618726	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27564566	1434.0081051621303	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27564862	1448.2536359673202	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27578650	1203.2174942551628	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581444	1194.2049887188443	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27581445	1185.5020758747414	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27582675	1238.9808018394467	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27601859	1238.4445435995676	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27609177	1205.1187164213218	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27611478	1196.0183898363634	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27619637	1206.5298244376681	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27619638	1202.6383936826176	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27634505	746.5804816331672	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27635061	1202.7772016257225	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27641061	1451.5838481701744	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27694922	1202.4935307428125	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27694923	1201.4766768669379	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27695237	1207.783193674508	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27703922	1199.9482877049682	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27704722	1233.8861610972065	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27707022	1204.822283814704	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714140	1188.7110880021255	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27714563	1207.9424662899828	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27723097	1202.2155222042068	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27723099	1203.1678199603268	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27733842	1235.9943925931507	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27738678	1468.0804616791972	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27741199	1239.1649350656933	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27753936	1234.1011835873078	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27760840	1196.326023973648	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27764486	1202.6065183182475	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27780645	1238.9079482602563	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27796219	1237.4880167390713	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27803022	1235.5894787266966	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27812228	1201.7290035796145	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27819321	1115.514333608438	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27820663	1415.4217227326808	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27837361	1204.8695420232527	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27840954	1234.6118763708212	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27859869	1238.5962681412952	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27875548	1200.490761665868	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27878180	1127.955490095022	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27878389	1237.1636260844175	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27880711	1171.1556050779252	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27884882	1239.412061682415	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27884962	1127.6667501556674	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27889513	1240.360755589379	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27903046	1331.2686675264856	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
27915918	1194.3206166328657	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27916969	1204.8905580700075	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27929850	1192.1321866758017	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27936841	1207.909100583911	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27937051	1235.0931658711393	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
27937406	1203.8340119787692	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27941963	1203.384293101314	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27946745	1476.7361926770689	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
27961511	1198.0868228329368	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
27999083	1201.2900329650374	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28008802	1201.6630677705864	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28014482	1198.954358695746	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021585	993.9824829110893	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021586	-768.0
home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28021892	1205.5573267140262	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28031309	740.4578346678056	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
28031638	1218.8011838267282	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28046488	1193.8024733615853	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28046757	1188.857902745723	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28053912	1201.1077605468852	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28057804	1194.995481910819	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28067973	1202.9992957628215	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28068296	1203.3123979963354	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28076797	1228.8978220478089	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28096589	1204.0823063318833	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28111597	1243.8602789428799	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
28114293	-623.6273935224997	home	twoway_vehicle	
-	-	education	twoway_vehicle	
-	-	home		
28121110	1201.0456976792236	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28121111	1198.8904080078503	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
28150949	1129.741260546551	home	twoway_vehicle	
