ID	score	actType	legMode
26531737	1126.0706600333879	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26671440	1236.7180813198772	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26675332	1435.6301297552138	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691130	1445.0279918224278	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26691261	1208.339503141893	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26693570	1200.504789380885	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26694219	1195.9948895480982	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695508	1203.016350484696	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695509	1189.5549350058918	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26695510	1203.5185920251072	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696719	1192.2921221170877	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26696722	1197.9183493079117	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26710753	1403.4280749926315	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26716528	1205.30343261808	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26718933	1205.4667539460472	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26724981	1203.3613519138626	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26725247	1133.5682433108868	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26726977	1202.385357466643	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26733464	1202.0794380020768	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736112	1197.593637807842	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26736115	1201.732504897844	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26738200	1227.3615656360419	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26738201	1225.0569761185357	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26739277	1198.3171277481713	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26749823	727.3624208216844	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26753629	1056.1602692881393	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760170	1132.0293230102398	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26760447	1202.2956815388154	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26768742	1202.5495754276144	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26769049	1395.6743261030938	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26770364	1442.4551033609246	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26771946	1202.7361411021777	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26785687	1173.2306583082327	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26788238	1238.8011510145561	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26790176	1451.7916162127199	home	twoway_vehicle	
-	-	work	twoway_vehicle	
-	-	home		
26790583	1204.060542869357	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790584	1195.3315963898194	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26790781	1128.0003258215077	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26793155	1202.761386130963	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26800101	1192.1446276380877	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26806990	1207.2625196103268	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808788	1212.0977867217139	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26808914	1205.3517250763562	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26811922	1201.7999374104745	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26814940	1114.2170732580223	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26829324	1155.1170841292312	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26831630	1182.3094565645044	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26835393	1200.9418486171708	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26835484	1181.3495807409738	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26841100	1189.2896550696655	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
-	-	home		
26841256	1202.308600631303	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26842995	1205.4170053207336	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26843420	1197.7438251577828	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26845977	1203.5880387633465	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26848898	1193.4591395245461	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26857866	1191.9773183761208	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26858022	1236.6072994334888	home	twoway_vehicle	
-	-	shopping	twoway_vehicle	
