ID	score	actType	legMode
26458817	146.08626438250099	home		
26459778	1418.2062083553171	home	car	
-	-	work	car	
-	-	home		
26459922	739.5782605939223	home	car	
-	-	work	car	
-	-	home		
26460076	729.5587023923845	home	bike	
-	-	work	bike	
-	-	home		
26460330	1483.3633956812973	home	car	
-	-	work	car	
-	-	home		
26460700	1475.6797659324861	home	car	
-	-	work	car	
-	-	home		
26460701	1416.7335399343383	home	car	
-	-	work	car	
-	-	home		
26460828	1387.495203343851	home	walk	
-	-	work	walk	
-	-	home		
26460829	1480.113456089433	home	car	
-	-	work	car	
-	-	home		
26460830	1480.1159930289991	home	car	
-	-	work	car	
-	-	home		
26461451	1411.2198838493593	home	car	
-	-	work	car	
-	-	home		
26461539	1414.2923414676943	home	car	
-	-	work	car	
-	-	home		
26461540	396.6736987151584	home	bike	
-	-	work	bike	
-	-	home		
26464272	1406.3609949180177	home	car	
-	-	work	car	
-	-	home		
26464668	1467.06669713561	home	car	
-	-	work	car	
-	-	home		
26464669	704.4013459759863	home	car	
-	-	work	car	
-	-	home		
26467061	1310.5756963092324	home	walk	
-	-	work	walk	
-	-	home		
26470704	1240.1866262144629	home	car	
-	-	shopping	car	
-	-	home		
26472023	1493.9990040323014	home	car	
-	-	work	car	
-	-	home		
26473092	1237.693021415087	home	car	
-	-	shopping	car	
-	-	home		
26479568	1177.4291945376465	home	car	
-	-	other	car	
-	-	home		
26480216	1197.361489817018	home	pt	
-	-	other	pt	
-	-	home		
26480982	1198.4193500271176	home	car	
-	-	other	car	
-	-	home		
26480983	1198.5075623016464	home	car	
-	-	other	car	
-	-	home		
26483248	1186.6792425413562	home	car	
-	-	other	car	
-	-	home		
26491808	1198.1016951871027	home	car	
-	-	other	car	
-	-	home		
26493228	1195.1946676120517	home	pt	
-	-	other	pt	
-	-	home		
26494764	1160.1500029023496	home	walk	
-	-	shopping	walk	
-	-	home		
26498758	1483.7092838521826	home	car	
-	-	work	car	
-	-	home		
26499817	1482.9334755360203	home	car	
-	-	work	car	
-	-	home		
26503032	1009.0562730875802	work	car	
-	-	other		
26503938	1042.867229622801	work	car	
-	-	other		
26503989	-999.8360554156986	home	walk	
-	-	work	walk	
-	-	home		
26503990	1426.0969657202963	home	car	
-	-	work	car	
-	-	home		
26507201	1039.1613188282793	work	car	
-	-	other		
26507202	1036.6900432325756	work	car	
-	-	other		
26511206	1128.0046055282048	home	car	
-	-	other	car	
-	-	home		
26512476	1200.9431253559585	home	car	
-	-	other	car	
-	-	home		
26513520	167.83747879724558	other	car	
-	-	other		
26516651	1190.0771649970322	home	car	
-	-	other	car	
-	-	home		
26520906	1198.170134369827	home	car	
-	-	other	car	
-	-	home		
26523292	168.48631924055215	other	car	
-	-	other		
26526926	1191.379583797649	home	bike	
-	-	other	bike	
-	-	home		
26527238	1204.4311768023458	home	car	
-	-	other	car	
-	-	home		
26527759	1202.3558304863009	home	car	
-	-	other	car	
-	-	home		
26530816	168.89652891418538	other	car	
-	-	other		
26530818	167.84577361799398	other	car	
-	-	other		
26531737	1132.48130185173	home	twoway_vehicle	
-	-	other	twoway_vehicle	
-	-	home		
26531738	1197.6702653009038	home	car	
-	-	other	car	
-	-	home		
26531740	1197.5144674827256	home	car	
-	-	other	car	
-	-	home		
26536628	706.3365611165474	home	car	
-	-	work	car	
-	-	home		
26541000	1402.1247488104998	home	car	
-	-	work	car	
-	-	home		
26541001	1446.906101382787	home	car	
-	-	work	car	
-	-	home		
26542042	1234.3753373076736	home	car	
-	-	shopping	car	
-	-	home		
26545334	800.4086752959853	work	car	
-	-	other		
26548056	1042.0383220152755	work	car	
-	-	other		
26560848	163.28653207126828	other	car	
-	-	other		
26560852	163.82413890944352	other	car	
-	-	other		
26560859	162.54625666192922	other	car	
-	-	other		
26564796	169.26100512935363	other	car	
-	-	other		
26565187	168.08836351377934	other	car	
-	-	other		
26572880	1204.0745076654507	home	car	
-	-	other	car	
-	-	home		
26572881	1200.6605160775964	home	car	
-	-	other	car	
-	-	home		
26573557	167.88724658127498	other	car	
-	-	other		
26578027	1480.1851154589137	home	car	
-	-	work	car	
-	-	home		
26583747	1234.5396946176138	home	car	
-	-	shopping	car	
-	-	home		
26584261	1485.7713763937902	home	car	
-	-	work	car	
-	-	home		
26584744	1038.5112247894185	work	car	
-	-	other		
26586779	1462.7450613204526	home	car	
-	-	work	car	
-	-	home		
26587965	478.5357411039602	home	bike	
-	-	work	bike	
-	-	home		
26588136	1030.2083716140023	home	walk	
-	-	shopping	walk	
-	-	home		
26588137	1239.2327097707248	home	car	
-	-	shopping	car	
-	-	home		
26588138	1237.7617674254648	home	car	
-	-	shopping	car	
-	-	home		
26588186	1429.347790208796	home	car	
-	-	work	car	
-	-	home		
26589077	1238.505734909406	home	car	
-	-	shopping	car	
-	-	home		
26589973	1419.0113235358829	home	car	
-	-	work	car	
-	-	home		
26591423	1229.8631623179424	home	car	
-	-	shopping	car	
-	-	home		
26591425	1120.0379290443889	home	walk	
-	-	shopping	walk	
-	-	home		
26599122	1197.8097547703298	home	car	
-	-	other	car	
-	-	home		
26599769	1204.3546650855435	home	car	
-	-	other	car	
-	-	home		
26612053	1369.7930590743972	home	car	
-	-	education	car	
-	-	home		
26613226	167.76904362373517	other	car	
-	-	other		
26613231	167.33135065686895	other	car	
-	-	other		
26617363	793.2029750021161	home	pt	
-	-	work	pt	
-	-	home		
26617364	1444.8705364500124	home	car	
-	-	work	car	
-	-	home		
26617365	1207.8822413320547	home	pt	
-	-	work	pt	
-	-	home		
26617773	1206.1332626973349	home	car	
-	-	other	car	
-	-	home		
26625082	1474.9044207062304	home	pt	
-	-	work	pt	
-	-	home		
26627499	973.1470153039636	work	car	
-	-	other		
26627629	939.9190260345023	work	car	
-	-	other		
26627776	1462.6900642655867	home	car	
-	-	work	car	
-	-	home		
26628231	1435.8314049546773	home	car	
-	-	work	car	
-	-	home		
26628408	1429.9536312447856	home	bike	
-	-	work	bike	
-	-	home		
26628452	1497.9356437492988	home	car	
-	-	work	car	
-	-	home		
26628524	1364.5222163821745	home	car	
-	-	work	car	
-	-	home		
26628525	1487.1351401436232	home	car	
-	-	work	car	
-	-	home		
26628526	1363.760572549802	home	walk	
-	-	work	walk	
-	-	home		
26628527	1479.959608827925	home	car	
-	-	work	car	
-	-	home		
26628528	1363.5936491775283	home	walk	
-	-	work	walk	
-	-	home		
26628529	1487.1352590918134	home	car	
-	-	work	car	
-	-	home		
26628530	1487.1309764391096	home	car	
-	-	work	car	
-	-	home		
26629090	1496.3533120509785	home	car	
-	-	work	car	
-	-	home		
26629297	1491.5495749248964	home	car	
-	-	work	car	
-	-	home		
26629407	745.1419570435834	home	car	
-	-	work	car	
-	-	home		
26629429	1488.706982181146	home	car	
-	-	work	car	
-	-	home		
26629777	1486.5977229586824	home	car	
-	-	work	car	
-	-	home		
26629847	1420.0433197579493	home	car	
-	-	work	car	
-	-	home		
26629976	834.427636072423	home	walk	
-	-	work	walk	
-	-	home		
26630077	1476.3390046278869	home	car	
-	-	work	car	
-	-	home		
26630169	972.2407547505683	work	car	
-	-	other		
26630204	1488.4342747474918	home	car	
-	-	work	car	
-	-	home		
26630805	1487.685847485344	home	car	
-	-	work	car	
-	-	home		
26630887	1465.8797131690726	home	car	
-	-	work	car	
-	-	home		
26630924	1484.5093214848457	home	car	
-	-	work	car	
-	-	home		
26631534	1484.8786175199089	home	car	
-	-	work	car	
-	-	home		
26631546	1360.4590894550724	home	walk	
-	-	work	walk	
-	-	home		
26631636	1488.0263972372697	home	car	
-	-	work	car	
-	-	home		
26631687	979.7017773251935	work	car	
-	-	other		
26655170	1494.2205321731562	home	car	
-	-	work	car	
-	-	home		
26656004	168.6458671586382	other	car	
-	-	other		
26656018	1497.3773596950577	home	car	
-	-	work	car	
-	-	home		
26657300	1205.0941894825494	home	car	
-	-	other	car	
-	-	home		
26657329	702.7881945216648	home	car	
-	-	work	car	
-	-	home		
26657395	1198.624592724839	home	car	
-	-	other	car	
-	-	home		
26658133	1387.4941261188467	home	bike	
-	-	work	bike	
-	-	home		
26658417	1216.8312621519963	home	walk	
-	-	work	walk	
-	-	home		
26658984	1482.7890246318655	home	car	
-	-	work	car	
-	-	home		
26658985	742.0444216823898	home	car	
-	-	work	car	
-	-	home		
26659222	167.89968809969594	other	car	
-	-	other		
26659511	168.8198875858617	other	car	
-	-	other		
26661122	1470.158541607117	home	bike	
-	-	work	bike	
-	-	home		
26661123	1474.6476896200668	home	car	
-	-	work	car	
-	-	home		
26661130	1479.230196874687	home	car	
-	-	work	car	
-	-	home		
26661131	1347.4189584805517	home	bike	
-	-	work	bike	
-	-	home		
26661286	1496.0444524573002	home	car	
-	-	work	car	
-	-	home		
26662342	1452.2090106425342	home	bike	
-	-	work	bike	
-	-	home		
26662638	1231.3335497871662	home	car	
-	-	shopping	car	
-	-	home		
26662765	1454.2026256063396	home	car	
-	-	work	car	
-	-	home		
26663755	1488.744878947506	home	car	
-	-	work	car	
-	-	home		
26664038	1475.3670444918396	home	car	
-	-	work	car	
-	-	home		
26664039	1471.3839621500208	home	car	
-	-	work	car	
-	-	home		
26664406	1427.9074234545542	home	walk	
-	-	work	walk	
-	-	home		
26664997	1476.6665902383736	home	car	
-	-	work	car	
-	-	home		
26665024	1396.5849678233392	home	walk	
-	-	work	walk	
-	-	home		
26665193	1490.591420863802	home	car	
-	-	work	car	
-	-	home		
26665223	1237.6735489098005	home	car	
-	-	shopping	car	
-	-	home		
26665224	1238.1776761865822	home	car	
-	-	shopping	car	
-	-	home		
26665307	1482.5425068184913	home	car	
-	-	work	car	
-	-	home		
26665837	1488.5173809718397	home	car	
-	-	work	car	
-	-	home		
26666717	1487.792236513192	home	bike	
-	-	work	bike	
-	-	home		
26666739	734.7078067899622	home	car	
-	-	work	car	
-	-	home		
26666989	1494.2803674623287	home	car	
-	-	work	car	
-	-	home		
