ID	X	Y	VOT	Score
26531740	4465991.5	5334462.5	11.52	-338.90042980889035
26675332	4466028.0	5334513.5	11.43	96.1003039932553
26693570	4465139.5	5334901.0	6.07	-321.26339819809493
26695508	4461480.244433429	5338532.586668897	7.08	99.90873726803183
26695510	4461480.244433429	5338532.586668897	11.26	-342.77897311114793
26696719	4470141.946517644	5338581.665843665	3.77	-337.706855193431
26696720	4470141.946517644	5338581.665843665	3.77	-339.0672262114773
26697580	4466610.5	5330431.0	5.13	-387.90295780327267
26710150	4470671.5	5328397.0	10.49	79.51491725916543
26710753	4470896.0	5327902.5	10.92	83.86986249385856
26716528	4469009.0	5336631.5	7.34	-329.65466400632744
26725247	4465437.5	5331002.5	6.06	-312.81676456160176
26733464	4467439.0	5333852.5	2.81	-380.9506057503471
26736116	4465816.0	5331893.0	13.0	-330.42088011879
26738200	4477755.5	5332633.0	13.17	106.32723294700534
26758312	4469016.5	5330563.0	2.8	-331.3776604764629
26760170	4467989.5	5330799.5	8.26	-315.73907372473184
26760447	4464089.0	5333146.5	7.86	62.247063082809056
26768742	4468821.5	5331415.5	3.58	-319.27278874506555
26769049	4477578.5	5332589.5	21.7	111.97179710506896
26769971	4469445.5	5330412.0	7.91	-326.33286333411667
26769973	4469445.5	5330412.0	4.42	-349.38851106574344
26771946	4467227.5	5331512.0	35.52	-322.60420077623246
26772894	4463444.0	5332867.5	19.27	-341.17133773336144
26779753	4468553.0	5331437.5	19.65	-339.27555160492636
26785687	4468909.5	5338644.5	11.38	121.96723609807154
26790583	4466824.0	5334674.0	11.48	-328.51880040464556
26790781	4471377.0	5338365.5	6.37	-313.176828214553
26793155	4471535.5	5331094.0	12.33	-323.4800220493031
26795596	4466610.5	5330431.0	6.75	103.64236295746196
26800101	4469270.0	5337375.5	1.28	-327.52357691658324
26803144	4468232.5	5331538.5	18.03	115.66778512639691
26804999	4468032.5	5332152.5	1.36	99.99639308826902
26806990	4464163.5	5333523.5	18.41	107.40002207765428
26808788	4467964.5	5332576.5	6.43	125.38943072089184
26808914	4464566.0	5331416.0	1.78	-349.4388682641793
